ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TIPO,TOTAL_ELEM,CAPACIDAD_MAX
17496,Área Infantil,114,VISTA ALEGRE,11,CARABANCHEL,OPERATIVO,436432.35,4470334.92,ETRS89,40.38117924,-3.74888053,CALLE,CODORNIZ,4,28047.0,"CODORNIZ, 000004",11074912.0,2003-01-01 00:00:00.0,11110,AE21,Infantiles,7.0,
17498,Área Infantil,112,OPAÑEL,11,CARABANCHEL,OPERATIVO,438855.96,4471836.75,ETRS89,40.39488981,-3.7204747,CALLE,GENERAL RICARDOS,53,28019.0,"GENERAL RICARDOS, 000053",31028640.0,2003-01-01 00:00:00.0,11112,AE21,Infantiles,7.0,
17500,Área Infantil,115,PUERTA BONITA,11,CARABANCHEL,OPERATIVO,436865.55,4470033.62,ETRS89,40.37849793,-3.74374763,CALLE,ALBA DE TORMES,4,28025.0,"ALBA DE TORMES, 000004",31001667.0,2005-01-01 00:00:00.0,11114,AE21,Infantiles,16.0,
17502,Área Infantil,115,PUERTA BONITA,11,CARABANCHEL,OPERATIVO,437023.1,4470267.57,ETRS89,40.38061738,-3.7419149,CALLE,MONSEÑOR OSCAR ROMERO,8,28025.0,"MONSEÑOR ÓSCAR ROMERO, 000008",20148855.0,2007-01-01 00:00:00.0,11117,AE21,Infantiles,12.0,
17504,Área Infantil,114,VISTA ALEGRE,11,CARABANCHEL,OPERATIVO,436717.914,4470462.539,ETRS89,40.38235062,-3.74552929,CALLE,MONSEÑOR OSCAR ROMERO,64,28025.0,"MONSEÑOR ÓSCAR ROMERO, 000064",11075136.0,2003-01-01 00:00:00.0,11119,AE21,Infantiles,17.0,
17506,Área Infantil,115,PUERTA BONITA,11,CARABANCHEL,OPERATIVO,436388.66,4469832.37,ETRS89,40.37664871,-3.74934503,CALLE,DATIL,1,28025.0,"DÁTIL, 000001",11077120.0,2003-01-01 00:00:00.0,11122,AE21,Infantiles,7.0,
17508,Área Infantil,115,PUERTA BONITA,11,CARABANCHEL,OPERATIVO,436857.663,4469522.354,ETRS89,40.37389161,-3.74378988,CALLE,ALBOX,22,28025.0,"ALBOX, 000022",31038885.0,2007-01-01 00:00:00.0,11124,AE21,Infantiles,6.0,
18107,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,445541.843,4479398.299,ETRS89,40.46347253,-3.64234612,CALLE,ALCORISA,4,28043.0,"Ctra · CARRETERA CANILLAS 98 , ASCENDIENTE 1: 163",11116820.0,2007-01-01 00:00:00.0,16098,AE21,Infantiles,11.0,
18109,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,445064.06,4479116.07,ETRS89,40.46089862,-3.64795691,CALLE,GOMEZNARRO,113,28043.0,"C · CALLE GOMEZNARRO 107 , ASCENDIENTE 1: 163 · C",11116341.0,2005-01-01 00:00:00.0,16100,AE21,Infantiles,6.0,
18111,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,444889.56,4479076.83,ETRS89,40.46053357,-3.65001156,CALLE,GOMEZNARRO,96,28043.0,"C · CALLE GOMEZNARRO 120 , ASCENDIENTE 1: 163 · C",11116157.0,2005-01-01 00:00:00.0,16102,AE21,Infantiles,8.0,
18113,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,444995.01,4480390.66,ETRS89,40.47237619,-3.64888178,CALLE,LOPEZ DE HOYOS,504,28043.0,"C · CALLE LOPEZ DE HOYOS 502 , ASCENDIENTE 1: 164",11118278.0,2004-01-01 00:00:00.0,16104,AE21,Infantiles,6.0,
18115,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445432.61,4480204.73,ETRS89,40.4707301,-3.64370383,CALLE,ESTRECHO DE ORMUZ,6,28033.0,"C · CALLE VALDETORRES DEL JARAMA 25 , ASCENDIENTE",20002896.0,2004-01-01 00:00:00.0,16106,AE21,Infantiles,7.0,
18117,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445244.62,4480008.98,ETRS89,40.46895432,-3.64590442,CALLE,AGUSTIN DE ITURBIDE,20 A,28043.0,"C · CALLE AGUSTÍN DE ITURBIDE 20 , ASCENDIENTE 1:",20083868.0,2000-01-01 00:00:00.0,16108,AE21,Infantiles,11.0,
18119,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445689.69,4480199.51,ETRS89,40.47069993,-3.64067092,CALLE,AYACUCHO,3,28043.0,"C · CALLE PARQUE DE ALFREDO KRAUS , ASCENDIENTE 1",31041708.0,2004-01-01 00:00:00.0,16110,AE21,Infantiles,19.0,
18121,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445848.13,4480385.33,ETRS89,40.47238423,-3.63881786,AVENIDA,BUCARAMANGA,2,28033.0,"Av · AVENIDA BUCARAMANGA , ASCENDIENTE 1: 164 · P",11123183.0,2004-01-01 00:00:00.0,16112,AE21,Infantiles,9.0,
18123,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,446005.32,4479484.23,ETRS89,40.46427689,-3.63688694,PLAZA,PATRICIO AGUADO,6,28043.0,"Pza · PLAZA PATRICIO AGUADO 6 , ASCENDIENTE 1: 16",20151083.0,2005-01-01 00:00:00.0,16114,AE21,Infantiles,20.0,
18125,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,445733.21,4479989.23,ETRS89,40.46880846,-3.64013958,CALLE,TORRESANDINO,6,28043.0,"C · CALLE AREQUIPA , ASCENDIENTE 1: 163 · CANILLA",20155880.0,2000-01-01 00:00:00.0,16116,AE21,Infantiles,16.0,
18128,Área Infantil,162,PIOVERA,16,HORTALEZA,OPERATIVO,446295.78,4479171.04,ETRS89,40.46147434,-3.63343455,CALLE,DIONISIO INCA YUPANQUI,2,28043.0,"C · CALLE DIONISIO INCA YUPANQUI , ASCENDIENTE 1:",20055342.0,2004-01-01 00:00:00.0,16120,AE21,Infantiles,12.0,
